tags,ner_tags,GPT_predicted_tags,AttentionEncoderCRFPrediction
"['Jacques', 'Boucher', 'de', 'Perthes', '(', '1788-1868', ')', ',', 'président-fondateur']","['B-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O']","['B-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O']","['B-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O']"
"[""'"", ""''"", '-', 'Marc', 'Antoine', 'Louis', 'Claret', 'de', 'La', 'Tourrette', '(', '1729-1793', ')']","['O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O']","['O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O']"
"['Liste', 'des', 'communes', 'du', 'Gard']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['O', 'O', 'O', 'O', 'B-LOC']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
"['Diego', 'Pérez', '(', '31-23', ')']","['B-PER', 'I-PER', 'O', 'O', 'O']","['B-PER', 'I-PER', 'O', 'O', 'O']","['B-PER', 'I-PER', 'O', 'O', 'O']"
"['Parmi', 'les', '175', 'espèces', ""d'oiseaux"", 'présentes', ',', 'on', 'trouve', 'le', 'Condor', 'de', 'Californie', ',', 'le', 'Grand', 'Corbeau', ',', 'le', 'Faucon', 'pèlerin', ',', 'la', 'Buse', 'à', 'queue', 'rousse', ',', 'le', 'Colibri', 'à', 'queue', 'large', ',', 'le', 'Colibri', 'à', 'gorge', 'noire', ',', 'le', 'Moucherolle', 'à', 'ventre', 'roux', ',', 'Hirondelle', 'à', 'face', 'blanche', ',', 'la', 'Mésange', 'de', 'Gambel', ',', 'la', 'Sittelle', 'à', 'poitrine', 'blanche', ',', 'le', 'Cassenoix', ""d'Amérique"", 'et', 'le', 'Geai', 'de', 'Steller', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O']"
"['Jean', 'Bosler', ',', '1923-1948']","['B-PER', 'I-PER', 'O', 'O']","['B-PER', 'I-PER', 'O', 'O']","['B-PER', 'I-PER', 'O', 'O']"
"['Pie-grièche', 'grise', '(', 'petite', 'population', 'nicheuse', ')']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O']","['O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O']"
"['District', 'de', 'Huzhong']","['B-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'O', 'I-LOC']","['B-LOC', 'I-LOC', 'I-LOC']"
"[""'"", ""''"", 'Championnat', 'de', 'Bolivie', 'de', 'football', ""''"", ""'""]","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O']","['O', 'O', 'B-ORG', 'O', 'B-LOC', 'O', 'O', 'O', 'O']","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O']"
"['4-2', 'Wildcats', 'de', 'Moncton', '4-3', 'Océanic', 'de', 'Rimouski', '3-4', 'Drakkar', 'de', 'Baie-Comeau']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG']","['O', 'B-ORG', 'O', 'B-LOC', 'O', 'B-ORG', 'O', 'B-LOC', 'O', 'B-ORG', 'O', 'B-LOC']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG']"
"['Cathédrale', 'Notre-Dame-et-Saint-Castor', 'de', 'Nîmes']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['B-LOC', 'I-LOC', 'O', 'B-LOC']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['Champigny-le-Sec', ',', 'dans', 'la', 'Vienne']","['B-LOC', 'O', 'O', 'O', 'B-LOC']","['B-LOC', 'O', 'O', 'O', 'B-LOC']","['B-LOC', 'O', 'O', 'O', 'B-LOC']"
"[""'"", ""''"", 'David', 'López', 'García', ""''"", ""'""]","['O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O']","['O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O']","['O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O']"
"['Xian', 'de', 'Liujiang']","['B-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'O', 'I-PER']","['B-LOC', 'I-LOC', 'I-LOC']"
"[""'"", ""''"", 'Sandie', 'Clair', ""''"", ""'""]","['O', 'O', 'B-PER', 'I-PER', 'O', 'O']","['O', 'B-PER', 'I-PER', 'O', 'O']","['O', 'O', 'B-PER', 'I-PER', 'O', 'O']"
"['**', 'Champion', 'du', 'Venezuela', 'en', '2009']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-LOC']","['O', 'B-MISC', 'O', 'B-LOC', 'O', 'O']","['O', 'O', 'O', 'B-LOC', 'O', 'B-LOC']"
"['(', 'en', 'collaboration', 'avec', 'DAAU', ')']","['O', 'O', 'O', 'O', 'B-ORG', 'O']","['O', 'O', 'O', 'O', 'B-ORG', 'O']","['O', 'O', 'O', 'O', 'B-ORG', 'O']"
"['Andy', 'Roddick', '(', '18', ')']","['B-PER', 'I-PER', 'O', 'O', 'O']","['B-PER', 'I-PER', 'O', 'O', 'O']","['B-PER', 'I-PER', 'O', 'O', 'O']"
"['Tegan', 'and', 'Sara']","['B-ORG', 'I-ORG', 'I-ORG']","['B-PER', 'O', 'B-PER']","['B-PER', 'I-PER', 'I-PER']"
"['Les', 'assistants-entraîneurs', 'sont', 'Steve', 'Weeks', 'et', 'Brad', 'McCrimmon', '.']","['O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O']","['O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O']","['O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O']"
"['Musée', 'municipal', 'de', 'La', 'Haye']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['B-ORG', 'O', 'O', 'B-LOC', 'I-LOC']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['REDIRECTION', 'Alfred', 'Ier', 'de', 'Saxe-Cobourg', 'et', 'Gotha']","['O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER']","['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'I-LOC']","['O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER']"
"['REDIRECTION', 'Kalmia', 'à', 'feuilles', 'étroites']","['O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['O', 'B-LOC', 'O', 'O', 'O']","['O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
"['Seimone', 'Augustus', '(', '2', ')']","['B-PER', 'I-PER', 'O', 'O', 'O']","['B-PER', 'I-PER', 'O', 'O', 'O']","['B-PER', 'I-PER', 'O', 'O', 'O']"
"['REDIRECTION', 'Carignan', '(', 'Ardennes', ')']","['O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['O', 'B-LOC', 'O', 'B-LOC', 'O']","['O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
"[""'"", ""''"", 'Association', 'sportive', 'de', 'Djerba', ""''"", ""'""]","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O']","['O', 'O', 'B-ORG', 'O', 'O', 'B-LOC', 'O', 'O']","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O']"
"['Selon', 'Jean', 'Maitron', ',', '.']","['O', 'B-PER', 'I-PER', 'O', 'O']","['O', 'B-PER', 'I-PER', 'O', 'O']","['O', 'B-PER', 'I-PER', 'O', 'O']"
"['Con', 'te', 'partirò']","['B-ORG', 'I-ORG', 'I-ORG']","['O', 'O', 'O']","['B-ORG', 'I-ORG', 'I-ORG']"
"['Six', 'degrés', 'de', 'séparation']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['O', 'O', 'O', 'O']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"[""'"", ""''"", 'Nawabshah', ""''"", ""'""]","['O', 'O', 'B-LOC', 'O', 'O']","['O', 'O', 'B-LOC', 'O', 'O']","['O', 'O', 'B-LOC', 'O', 'O']"
"['Pretoria', ',', 'Afrique', 'du', 'Sud']","['B-LOC', 'O', 'B-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'O', 'B-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'O', 'B-LOC', 'I-LOC', 'I-LOC']"
"['Le', 'Secret', 'de', ""l'Espadon""]","['B-PER', 'I-PER', 'I-PER', 'I-PER']","['O', 'B-MISC', 'O', 'I-MISC']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['Parc', 'national', 'du', 'Kosciuszko']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['Testudines', '(', 'classification', 'phylogénétique', ')']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['B-MISC', 'O', 'O', 'O', 'O']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
"['Pont', 'transbordeur', 'du', 'Martrou', '-', 'Rochefort', '-']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-LOC', 'O']","['B-LOC', 'I-LOC', 'O', 'B-LOC', 'I-LOC', 'O']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-LOC', 'O']"
"['Giovanni', 'Cagliero', '(', '1915-1920', ')']","['B-PER', 'I-PER', 'O', 'O', 'O']","['B-PER', 'I-PER', 'O', 'O', 'O', 'O']","['B-PER', 'I-PER', 'O', 'O', 'O']"
"[""'"", ""''"", 'Bailleul-Sir-Berthoult', ""''"", ""'""]","['O', 'O', 'B-LOC', 'O', 'O']","['O', 'O', 'B-LOC', 'O', 'O']","['O', 'O', 'B-LOC', 'O', 'O']"
"[""'"", ""''"", 'Honda', ""''"", ""'""]","['O', 'O', 'B-ORG', 'O', 'O']","['O', 'O', 'B-ORG', 'O', 'O']","['O', 'O', 'B-ORG', 'O', 'O']"
"['REDIRECTION', 'Mosquée', 'Sokollu', 'Mehmet', 'Pacha']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['O', 'B-LOC', 'B-PER', 'I-PER', 'I-PER']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['Orgères', '(', 'Ille-et-Vilaine', ')']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'O', 'B-LOC', 'O']","['B-LOC', 'O', 'B-LOC', 'O']"
"['Les', 'compilations', 'des', 'deux', 'textes', 'est', 'traditionnellement', 'attribuée', 'à', 'Confucius', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
"['Cathédrale', 'Saint-Mammès', 'de', 'Langres']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['B-LOC', 'I-LOC', 'O', 'B-LOC']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['Hong', 'Kong', '-', 'partie']","['B-LOC', 'I-LOC', 'O', 'O']","['B-LOC', 'I-LOC', 'O', 'O']","['B-LOC', 'I-LOC', 'O', 'O']"
"['Berklee', 'College', 'of', 'Music']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['Aubert', ""d'Avranches"", '(', '?']","['B-PER', 'I-PER', 'O', 'O']","['B-PER', 'I-PER', 'O', 'O']","['B-PER', 'I-PER', 'O', 'O']"
